Villes;Vendargues;Montpellier est;Montpellier sud;Montpellier ouest;St-Jean-de-Vedas;Peage de Montpellier St-Jean;Sete;Agde Pezenas;Peage de Beziers-Cabrials;Beziers ouest;Narbonne est ;Narbonne sud;Sigean ;Leucate;Perpignan nord;Perpignan sud;Le Boulou  (peage sys ferme);Peage du Perthus;Le Boulou (peage sys ouvert);Frontiere Espagnole;Lezignan;Carcassonne est;Carcassonne ouest;Bram;Castelnaudary;Villefranche-de-Lauragais;Nailloux;Mazeres-Saverdun;Peage de pamiers;Pamiers nord;Pamiers sud;Montgiscard;Peage de Toulouse sud/ouest;Le palays;Peage de Toulouse sud/est;Montaudran;Lasbordes;Soupetrad;La Roseraie;La Croix Daurade;Borderouge;Les lzards;Sesquieres
Montgiscard;21.2;21.2;21.2;21.2;21.2;21.2;19.2;16.8;14.5;14.1;13.1;11.8;13.6;14.3;16.5;17.5;20;21.2;;21.2;9.1;6.6;5.8;4.3;3.2;1;1;3;4.5;4.5;4.5;0;1.3;1.3;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7
Peage de Toulouse sud/ouest;23.7;23.7;23.7;23.7;23.7;23.7;21.2;18.8;17.1;16.3;14.9;13.9;15;16;18.8;18.9;21.6;22.7;;22.7;11.3;9.1;8;5.4;4.2;2;2.4;4.4;5.5;5.5;5.5;1.3;0;;;;;;;;;;
Le palays;23.7;23.7;23.7;23.7;23.7;23.7;21.2;18.8;17.1;16.3;14.9;13.9;15;16;18.8;18.9;21.6;22.7;;22.7;11.3;9.1;8;5.4;4.2;2;2.4;4.4;5.5;5.5;5.5;1.3;;0;0;0;0;0;0;0;0;0;0
Peage de Toulouse sud/est;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;0;;;;;;;;
Montaudran;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;;0;0;0;0;0;0;0;0
Lasbordes;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;;0;0;0;0;0;0;0;0
Soupetrad;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;;0;0;0;0;0;0;0;0
La Roseraie;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;;0;0;0;0;0;0;0;0
La Croix Daurade;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;;0;0;0;0;0;0;0;0
Borderouge;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;;0;0;0;0;0;0;0;0
Les lzards;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;;0;0;0;0;0;0;0;0
Sesquieres;24.3;24.3;24.3;24.3;24.3;24.3;21.8;19.4;17.7;16.9;15.5;14.5;15.6;16.6;19.4;19.5;22.2;23.3;;23.3;11.9;9.7;8.6;6;4.8;2.4;2.8;5;6.1;6.1;6.1;1.7;;0;;0;0;0;0;0;0;0;0
